lat,lon
61.735416,73.414583
18.204573,77.929037
60.946677,72.653262
70.158713,70.361979
65.655361,64.623958
65.927944,65.297917
53.458111,49.496391
53.458111,49.496391
-3.825186,37.470367
9.557291,37.364808
-15.297917,35.714583
9.557291,37.364808
48.827083,44.68125
48.827083,44.68125
-7.847136,26.978859
-5.91118,29.185417
-7.847136,26.978859
14.925127,35.907292
62.22821,36.76875
62.041091,24.612782
-8.963743,13.790871
9.058993,13.689926
53.685712,21.773049
-0.873064,10.027171
10.322925,11.479613
59.321843,18.070995
-1.385495,9.101042
-0.873064,10.027171
12.84375,17.472917
59.321843,18.070995
6.465993,3.387081
68.635417,170.735417
11.085992,0.700693
6.302627,0.060347
67.298821,169.267708
7.431467,1.435166
68.635417,170.735417
13.510343,5.88247
47.002083,7.01875
56.003417,8.131737
-38.690273,176.060417
67.445757,172.171875
-44.188092,170.14683
70.441374,157.304514
70.473958,159.105208
13.681241,-6.089587
53.434713,-7.956872
16.160273,-12.663459
13.193721,-10.426733
71.6439,143.364497
75.84496,142.096739
65.563372,-20.448958
71.573881,138.457292
75.208011,148.104787
-21.597917,145.860417
-21.597917,145.860417
73.044013,128.730805
-28.427083,137.20625
-31.252083,137.860417
49.366475,117.712696
9.332196,125.521606
-21.335417,124.802083
30.25948,114.600663
-22.072917,122.977083
-22.485417,123.79375
46.735428,124.285426
-26.11875,122.322917
74.539966,109.094289
52.643599,111.572322
-0.245526,116.534009
36.922917,100.197917
56.284112,101.785413
30.714583,90.65625
2.433957,99.147011
75.220969,100.089583
17.243734,98.971794
66.833702,85.496427
68.12483,87.761458
46.152083,81.672917
18.15743,82.111538
67.93125,71.385417
65.927944,65.297917
46.385417,74.602083
19.485417,75.367708
41.889583,57.452083
41.056625,52.912913
34.477083,54.335417
33.689627,43.460376
48.827083,44.68125
59.516493,39.795991
13.277083,40.902083
50.490379,51.615766
-17.425995,48.579622
61.227083,28.78125
59.95278,31.032851
9.557291,37.364808
-3.825186,37.470367
62.041091,24.612782
1.613382,32.349026
0.430999,33.193791
-24.691984,33.506412
58.532267,15.039006
68.112253,26.688237
65.857417,13.794422
13.077083,14.527083
11.085992,0.700693
-1.385495,9.101042
9.866081,4.612749
6.302627,0.060347
16.160273,-12.663459
7.031395,-5.471695
7.031395,-5.471695
-38.690273,176.060417
5.197811,-3.724307
-44.188092,170.14683
65.549298,177.43196
-45.438308,167.686458
-11.777083,160.50625
67.448645,168.511931
68.635417,170.735417
-20.643619,147.138206
-23.652921,148.065625
69.114583,154.302083
-32.385168,142.368611
-7.246365,141.495236
-4.179042,143.185478
62.055299,150.409359
72.543179,141.607813
-28.427083,137.20625
75.484411,144.675813
-22.931928,132.46875
53.389996,139.965352
43.717337,126.686668
53.770578,127.306854
45.446924,117.294442
14.525349,121.101993
31.110144,120.543741
0.911202,112.136708
33.08953,118.726991
31.493971,119.776944
-4.811955,103.919895
63.034291,112.477083
55.267688,113.096338
55.93397,92.29324
19.786887,97.092219
48.814583,97.285417
50.277083,92.710417
50.277083,92.710417
