sat,lat,lon,rise_time,set_time,incidence_angle,reward,s,p,i,t,obs,,,,,,,
smallsat01,1.268508355,-1.723986476,6.161941314,8.738552584,0.072728325,0.004090814,1,8,1,1,1,,,,4,13,819,1467
smallsat01,1.269074976,-1.647294544,7.814650047,10.40854697,0.344019124,0.007805954,1,11,2,2,1,,,,,,,
smallsat02,0.584998062,1.392542185,38.74185432,41.24919779,0.033030762,0.483484619,2,7,3,3,1,,,,,,,
smallsat02,0.400252692,1.395240639,205.0475593,207.5380813,0.133676249,0.433161876,2,9,4,4,1,,,,,,,
smallsat02,0.389991203,1.340204124,213.9927861,216.510567,0.459280817,0.270359591,2,12,5,5,1,,,,,,,
smallsat02,0.389693799,1.340152113,214.2599859,216.777749,0.45962239,0.270188805,2,12,6,6,1,,,,,,,
smallsat02,0.388412902,1.337865034,215.3806021,217.9010403,0.480234452,0.260905707,2,13,7,7,1,,,,,,,
smallsat02,0.38789227,1.33743481,215.8431682,218.3641212,0.484086906,0.258971898,2,13,8,8,1,,,,,,,
smallsat02,0.384938126,1.33776363,218.5093496,221.0294872,0.479535189,0.261256715,2,12,9,9,1,,,,,,,
smallsat02,0.331755849,1.364719542,266.6231984,269.1111569,0.168518455,0.415740773,2,9,10,10,1,,,,,,,
smallsat00,0.318898951,-1.778356536,283.514003,285.9983648,0.172282788,0.007946361,0,9,11,11,1,,,,,,,
smallsat02,0.289267729,1.384297948,304.827534,307.3092184,0.095985074,0.452007463,2,8,12,12,1,,,,,,,
smallsat00,0.348884039,-1.764055186,310.4453479,312.9288806,0.019991544,0.006784925,0,7,13,13,1,,,,,,,
smallsat02,0.280693275,1.361358736,312.5124018,314.9967366,0.171416651,0.414291675,2,9,14,14,1,,,,,,,
smallsat00,0.354539849,-1.794089388,315.6407561,318.1347577,0.317776351,0.023916487,0,11,15,15,1,,,,,,,
smallsat00,0.418161655,-1.722053698,373.127779,375.6514847,0.503850761,0.002149319,0,13,16,16,1,,,,,,,
smallsat00,0.41887902,-1.723426417,373.7533839,376.2752353,0.492018833,0.253990584,0,13,17,17,1,,,,,,,
smallsat00,0.463583587,-1.730803016,413.9421771,416.4602393,0.443481501,0.002240543,0,12,18,18,1,,,,,,,
smallsat00,0.514042121,-1.763692612,459.0882346,461.5855453,0.139023986,0.003774806,0,9,19,19,1,,,,,,,
smallsat01,1.241992702,1.361360831,579.8420931,582.4346208,0.020887765,0.489556118,1,7,20,20,1,,,,,,,
smallsat01,1.241953432,1.361690698,579.8772929,582.4698168,0.02226703,0.488866485,1,7,21,21,1,,,,,,,
smallsat01,1.238603272,1.44455352,581.8249017,584.4271806,0.346802729,0.326598636,1,11,22,22,1,,,,,,,
smallsat01,1.238600829,1.444567658,581.8267597,584.4290426,0.346856869,0.326571565,1,11,23,23,1,,,,,,,
smallsat01,1.238129241,1.44890899,582.1424089,584.7459297,0.363027415,0.318486293,1,11,24,24,1,,,,,,,
smallsat01,1.238771871,1.366946757,582.7561928,585.348616,0.044698882,0.477650559,1,8,25,25,1,,,,,,,
smallsat01,1.235713705,1.454938404,584.1619606,586.7674996,0.387122187,0.306438907,1,11,26,26,1,,,,,,,
smallsat01,1.233814089,1.438149384,586.3117861,588.9127289,0.328840435,0.335579782,1,11,27,27,1,,,,,,,
smallsat01,1.232918211,1.454957254,586.6868422,589.2926642,0.390657525,0.304671237,1,11,28,28,1,,,,,,,
smallsat01,1.230965537,1.452201553,588.5282003,591.1333442,0.383249672,0.308375164,1,11,29,29,1,,,,,,,
smallsat01,1.22729668,1.443270529,592.0819773,594.6847651,0.355167861,0.32241607,1,11,30,30,1,,,,,,,
smallsat01,1.226488593,1.440430355,592.8839587,595.4860578,0.345584041,0.32720798,1,11,31,31,1,,,,,,,
smallsat01,1.217042173,1.466081459,600.6785451,603.2902384,0.449811781,0.275094109,1,12,32,32,1,,,,,,,
smallsat00,0.719330226,-1.774535243,644.1948822,646.7092969,0.145421419,0.00311323,0,9,33,33,1,,,,,,,
smallsat00,0.76863925,-1.735706309,689.4019544,691.9511789,0.478371318,0.003972202,0,12,34,34,1,,,,,,,
smallsat00,0.775909088,-1.752275139,695.6143009,698.1484095,0.355212129,0.023481885,0,11,35,35,1,,,,,,,
smallsat00,0.829138383,-1.770327463,743.4908383,746.0188698,0.22404907,0.029145234,0,10,36,36,1,,,,,,,
smallsat00,0.829505601,-1.775581917,743.7663967,746.2920499,0.181594187,0.409202907,0,9,37,37,1,,,,,,,
smallsat00,0.829734588,-1.780233743,743.9336083,746.4574885,0.14329738,0.42835131,0,9,38,38,1,,,,,,,
smallsat00,0.829958688,-1.769981853,744.2371219,746.7653887,0.227090198,0.386454901,0,10,39,39,1,,,,,,,
smallsat00,0.830854915,-1.767271357,745.082455,747.612258,0.24903748,0.37548126,0,10,40,40,1,,,,,,,
smallsat00,0.831048123,-1.784867417,745.0912496,747.6137577,0.105227876,0.447386062,0,8,41,41,1,,,,,,,
smallsat00,0.834328294,-1.785702383,748.0529409,750.5755549,0.099697987,0.450151006,0,8,42,42,1,,,,,,,
smallsat00,0.836809105,-1.857902814,751.0668786,753.6105229,0.466874221,0.266562889,0,12,43,43,1,,,,,,,
smallsat00,0.836809105,-1.857909796,751.0670646,753.6107148,0.466920779,0.266539611,0,12,44,44,1,,,,,,,
smallsat00,0.837777205,-1.857284845,751.9240078,754.4669329,0.461979398,0.014599906,0,12,45,45,1,,,,,,,
smallsat00,0.874300872,-1.849139987,784.6901625,787.2268179,0.374236784,0.006342527,0,11,46,46,1,,,,,,,
smallsat00,0.885352157,-1.83010499,794.3457797,796.873993,0.227127846,0.005511094,0,10,47,47,1,,,,,,,
smallsat00,0.894808334,-1.865138687,803.5938876,806.1413746,0.461681174,0.007029008,0,12,48,48,1,,,,,,,
smallsat00,0.897762845,-1.744511129,806.0993228,808.6516749,0.42071117,0.009958554,0,12,49,49,1,,,,,,,
smallsat00,0.905280466,-1.822014656,812.2717372,814.7990355,0.151557825,0.007717713,0,9,50,50,1,,,,,,,
smallsat00,0.905092774,-1.737506843,812.9270619,815.4862114,0.464682017,0.002855565,0,12,51,51,1,,,,,,,
smallsat00,0.906150304,-1.818271099,813.0291497,815.555937,0.122682313,0.004517309,0,8,52,52,1,,,,,,,
smallsat00,0.905577207,-1.739287708,813.3165191,815.874061,0.453551114,0.091721628,0,12,53,53,1,,,,,,,
smallsat00,0.917558125,-1.750692509,823.8869061,826.4359232,0.379717251,0.003201486,0,11,54,54,1,,,,,,,
smallsat00,0.91878085,-1.758404299,824.8328793,827.3766141,0.32809207,0.006896463,0,11,55,55,1,,,,,,,
smallsat00,0.923024897,-1.766047776,828.5420935,831.0816335,0.275591432,0.006280139,0,10,56,56,1,,,,,,,
smallsat00,0.927818235,-1.732936577,833.6566926,836.2216091,0.489153468,0.042643085,0,13,57,57,1,,,,,,,
smallsat01,0.956404075,1.341903673,839.1346613,841.720126,0.033386883,0.063363745,1,7,58,58,1,,,,,,,
smallsat00,0.936532629,-1.804708722,840.4663017,842.9951088,0.004602139,0.008662948,0,7,59,59,1,,,,,,,
smallsat00,0.93721521,-1.750165472,841.7108775,844.2618464,0.382495471,0.027001826,0,11,60,60,1,,,,,,,
smallsat00,0.938411633,-1.835413688,842.3720178,844.9042703,0.225316593,0.003400344,0,10,61,61,1,,,,,,,
smallsat00,0.941745892,-1.78688685,845.2515437,847.7840863,0.130410491,0.012139759,0,8,62,62,1,,,,,,,
smallsat00,0.941269679,-1.732816707,845.8529376,848.4186982,0.487457982,0.001961669,0,13,63,63,1,,,,,,,
smallsat00,0.943558853,-1.773919944,847.0275762,849.565081,0.223360028,0.002884959,0,10,64,64,1,,,,,,,
smallsat00,0.943968604,-1.851248921,847.6554438,850.1938665,0.328574042,0.002798056,0,11,65,65,1,,,,,,,
smallsat00,0.943726632,-1.86962942,847.8712374,850.420214,0.444224162,0.002300727,0,12,66,66,1,,,,,,,
smallsat00,0.945107396,-1.761239307,848.6314309,851.1756586,0.310139053,0.006528844,0,11,67,67,1,,,,,,,
smallsat00,0.945116315,-1.742147656,849.0717559,851.6295212,0.431687167,0.003492472,0,12,68,68,1,,,,,,,
smallsat00,0.945738281,-1.754986246,849.3275393,851.8757917,0.351235912,0.007325195,0,11,69,69,1,,,,,,,
smallsat00,0.949139386,-1.791626065,851.9152571,854.4472699,0.098456396,0.003627811,0,8,70,70,1,,,,,,,
smallsat00,0.949422374,-1.774651796,852.3297627,854.8674562,0.219559513,0.003521087,0,10,71,71,1,,,,,,,
smallsat00,0.949745347,-1.78327278,852.5266557,855.0610588,0.158636289,0.009636419,0,9,72,72,1,,,,,,,
smallsat00,0.951898734,-1.784422184,854.4666148,857.0008749,0.151233846,0.424383077,0,9,73,73,1,,,,,,,
smallsat00,0.952005723,-1.77772745,854.6321831,857.1688268,0.198231397,0.400884302,0,9,74,74,1,,,,,,,
smallsat00,0.951988444,-1.773928915,854.663922,857.2021624,0.22461719,0.387691405,0,10,75,75,1,,,,,,,
smallsat00,0.951933519,-1.843029991,854.7071866,857.2424293,0.267215583,0.011148582,0,10,76,76,1,,,,,,,
smallsat00,0.952211462,-1.770872879,854.9085505,857.4482191,0.245711588,0.006428297,0,10,77,77,1,,,,,,,
smallsat00,0.954145409,-1.765174675,856.7508998,859.2936808,0.284346403,0.002630981,0,10,78,78,1,,,,,,,
smallsat00,0.953947053,-1.750019755,856.8780559,859.4303728,0.382362611,0.003910674,0,11,79,79,1,,,,,,,
smallsat00,0.954799716,-1.877737923,858.1011482,860.6554408,0.480960062,0.01085745,0,13,80,80,1,,,,,,,
smallsat00,0.955583875,-1.863884372,858.4280735,860.9731651,0.398526588,0.005567639,0,12,81,81,1,,,,,,,
smallsat00,0.95713261,-1.800056756,859.1189759,861.6501259,0.040773286,0.017385664,0,7,82,82,1,,,,,,,
